name,address,ratings,category,description,location
War Remnants Museum,"Ward 6, District 3",4.5,Museums,"A museum documenting the Vietnam War through photographs, military artifacts, and historical exhibits.",Ho Chi Minh 
Independence Palace,"Ben Thanh Ward, District 1",4.5,Museums,A historic government building and iconic landmark where the Vietnam War officially ended in 1975.,Ho Chi Minh 
Notre Dame Cathedral of Saigon,"01 Paris Commune Square, Ben Nghe Ward, District 1",4.4,Landmarks,A French-built Roman Catholic cathedral known for its red bricks and twin bell towers.,Ho Chi Minh 
Ben Thanh Market,"Ben Thanh Ward, District 1",4,Landmarks,"A bustling central market offering souvenirs, local food, clothing, and handicrafts.",Ho Chi Minh 
Saigon Opera House,"07 Lam Son Square, Ben Nghe Ward, District 1",4.6,Landmarks,A French colonial era opera house hosting cultural performances and special events.,Ho Chi Minh 
Bui Vien Walking Street,"Bui Vien Street, Pham Ngu Lao Ward, District 1",4.3,Landmarks,"A vibrant nightlife street filled with bars, restaurants, and entertainment venues.",Ho Chi Minh 
Tao Dan Park,"Ben Thanh Ward, District 1",4.5,Landmarks,"A peaceful green park ideal for walking, relaxing, and enjoying local cultural activities.",Ho Chi Minh 
Ho Chi Minh City Book Street,"2 Nguyen Van Binh Street, Ben Nghe Ward, District 1",4.6,Landmarks,"A charming pedestrian street lined with bookstores, cafe, and cultural activities.",Ho Chi Minh 
Saigon Zoo & Botanical Gardens,"2 Nguyen Binh Khiem Street, Ben Nghe Ward, District 1",4.3,Landmarks,"One of the oldest zoos in Asia, featuring animal exhibits and a botanical garden.",Ho Chi Minh 
Saigon Skydeck,"36 Ho Tung Mau Street, Ben Nghe Ward, District 1",4.4,Landmarks,An observation deck offering panoramic views of Ho Chi Minh City from Bitexco Tower.,Ho Chi Minh 
Thue Cung,"247/36/1 Lac Long Quan Street, Ward 3, District 11",4.3,Shrines/Temples,A local religious site known for worship activities and community gatherings.,Ho Chi Minh 
Van Tho Buddhist Temple,"247 Hoang Sa Street, Tan Dinh Ward, District 1",4.5,Shrines/Temples,A peaceful Buddhist temple with traditional architecture and quiet surroundings.,Ho Chi Minh 
Sri Thendayuthapani Temple,"66 Ton That Thiep Street, Ben Nghe Ward, District 1",4.2,Shrines/Temples,A colorful Hindu temple known for its intricate carvings and vibrant ceremonies.,Ho Chi Minh 
Vinh Nghiem Buddhist Temple,"339 Nam Ky Khoi Nghia Street, Ward 7, District 3",4.6,Shrines/Temples,A large modern pagoda featuring a tall seven-story tower and peaceful courtyards.,Ho Chi Minh 
Ong Bon Temple,"Ben Nghe Ward, District 1",4.8,Shrines/Temples,"An ancient temple dedicated to Ong Bon, the guardian deity of communities and merchants.",Ho Chi Minh 
Phung Son Buddhist Temple,"338 Nguyen Cong Tru Street, Nguyen Thai Binh Ward, District 1",4.6,Shrines/Temples,A historic pagoda known for its traditional southern Vietnamese architecture.,Ho Chi Minh 
Pho Quang Pagoda,"21 Huynh Lan Khanh Street, Ward 2, Tan Binh District",4.7,Shrines/Temples,A spacious Buddhist pagoda with peaceful gardens and spiritual ceremonies.,Ho Chi Minh 
Temple of Hung Kings,"2 Nguyen Binh Khiem Street, Ben Nghe Ward, District 1",4.3,Shrines/Temples,"A memorial temple honoring the ancient Hung Kings, founders of Vietnam.",Ho Chi Minh 
Jade Emperor Pagoda,"73 Mai Thi Luu Street, Da Kao Ward, District 1",4.7,Shrines/Temples,A famous Taoist pagoda known for its intricate statues and sacred atmosphere.,Ho Chi Minh 
Xa Loi Buddhist Temple,"89 Ba Huyen Thanh Quan Street, Vo Thi Sau Ward, District 3",4.6,Shrines/Temples,A significant Buddhist temple with a tall stupa and peaceful grounds.,Ho Chi Minh 
Minh Dao Buddhist Temple,"3 Ky Dong Street, Ward 9, District 3",4.6,Shrines/Temples,A modern Buddhist temple known for serene worship spaces and community activities.,Ho Chi Minh 
Vietnamese National Buddhist Temple,"244 3 Thang 2 Street, Ward 12, District 10",4.7,Shrines/Temples,A major national Buddhist center with large statues and spacious courtyards.,Ho Chi Minh 
