name,address,ratings,category,description,location,image_url
War Remnants Museum,"Ward 6, District 3",4.5,Museums,"A museum documenting the Vietnam War through photographs, military artifacts, and historical exhibits.",Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZTXtrwt3ziCAp0-NwaKbvUOGrpT9G0gGbvrxOjSSxaFH8CU9mxqgpcloiVej_tL5cVBnPj09fkGWnVJvMgRbp9LE_WYk8X5JtB7aT-giizAwMENUeRmIRC3a9zZ0RK0Y8VQtA=w32-h32-p-k-no
Independence Palace,"Ben Thanh Ward, District 1",4.5,Museums,A historic government building and iconic landmark where the Vietnam War officially ended in 1975.,Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwzAqWf33ZywBhjKbXl_4qOFpz4u0QzTOr3fEcIxab-3LQGvH7GT84NhW_AfraYKBpD7o6dl0wXBtTiyNVfM_3mMJpZ7VGA_lcjGlMIqgBkhMySRuur1ddXeX4G_tP1nYvz3KA=w32-h32-p-k-no
Notre Dame Cathedral of Saigon,"01 Paris Commune Square, Ben Nghe Ward, District 1",4.4,Landmarks,A French-built Roman Catholic cathedral known for its red bricks and twin bell towers.,Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwoyInDpDy4Q1hGuX-0WCMR3Ndq3cpnCaAX9z0Lzeyb3qmt-cmKmhP0ylYZFrNSFCvyZopBuYJ4NoquXXwew4tddwgTf6I0Y1IJaxHWzx0KcxFT5kZVpcvjRS-iqTejUEBhFDISsA=w32-h32-p-k-no
Ben Thanh Market,"Ben Thanh Ward, District 1",4.0,Landmarks,"A bustling central market offering souvenirs, local food, clothing, and handicrafts.",Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1EHzewJG2F4xVQCpYdiuT-cxs1ceygLUV3I3kQDAIyjHXIPT-5z6ip39DZZeIjrhIwggBEEoYh9fMA1U1kmmLLH7B3QuzYjaEHDhEBqDwoLjGkprImGanlbzhJeEei7x2L_n1ocWbUbyQ=w32-h32-p-k-no
Saigon Opera House,"07 Lam Son Square, Ben Nghe Ward, District 1",4.6,Landmarks,A French colonial era opera house hosting cultural performances and special events.,Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzZk9NHdm01mgoVWkThsAy5uFhZDz1TKLh6C-zMg75_3_d5tL9Fc2wahzRTDhXHz0BHcGCjPSmWz0Jj-Aptvzlm7fESufVYdGf3OIAzvNmUaaEYXZALKC_3Zz6nTFD5o8WS0cMq=w32-h32-p-k-no
Bui Vien Walking Street,"Bui Vien Street, Pham Ngu Lao Ward, District 1",4.3,Landmarks,"A vibrant nightlife street filled with bars, restaurants, and entertainment venues.",Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIkdu_NWKGXHzaAu1Ib6XKElmcOrgsxnZCr2Paqv4EHpoGDDsxiUzqw_39pDJ0vc9D85k3kZc5961l3l1FHCJC2XsDr7plb2L-zSO6skZeXzZL2IpEn5juSTL4j_NyKPRUHxBi=w32-h32-p-k-no
Tao Dan Park,"Ben Thanh Ward, District 1",4.5,Landmarks,"A peaceful green park ideal for walking, relaxing, and enjoying local cultural activities.",Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyH6tkQIyp2Sc-5-Odc5ldFZeyYBSf37IReZpDyTyuDXuZdPfPEFYfVRTd0AAa81LxM2FCG4fj0BRDDEh-CGRWj_A1xkq99VAUgw2CCBq7Dsz0pnx_wd6Qzg9b0wduxLycyF59YCQ=w32-h32-p-k-no
Ho Chi Minh City Book Street,"2 Nguyen Van Binh Street, Ben Nghe Ward, District 1",4.6,Landmarks,"A charming pedestrian street lined with bookstores, cafe, and cultural activities.",Ho Chi Minh ,
Saigon Zoo & Botanical Gardens,"2 Nguyen Binh Khiem Street, Ben Nghe Ward, District 1",4.3,Landmarks,"One of the oldest zoos in Asia, featuring animal exhibits and a botanical garden.",Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyIVOFoUxhu9ylvfL21VRdTh434I4LXQ4zKPqWIsmxfsY00aAvRx9LPxDNVHcEGsMH23YafqIvgxrPrHOZLeLyEiuKC1Pxoaq0Xim0eXZnfE3poBzT-uisEp6gNnvtCq8xecMY=w86-h114-k-no
Saigon Skydeck,"36 Ho Tung Mau Street, Ben Nghe Ward, District 1",4.4,Landmarks,An observation deck offering panoramic views of Ho Chi Minh City from Bitexco Tower.,Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy22RBVD9Eai0PckDtZfvGLeubIMjji0TU6o4ajh7B5z_DsyxRnRjSUGAMppH-d_TaZd8wE3b-b8BYc7ecA97ck8TJ_QZqDvS7uTcIPpih8BDDegXSC4SopVy8CAZFAbLmtL7KD=w32-h32-p-k-no
Thue Cung,"247/36/1 Lac Long Quan Street, Ward 3, District 11",4.3,Shrines/Temples,A local religious site known for worship activities and community gatherings.,Ho Chi Minh ,
Van Tho Buddhist Temple,"247 Hoang Sa Street, Tan Dinh Ward, District 1",4.5,Shrines/Temples,A peaceful Buddhist temple with traditional architecture and quiet surroundings.,Ho Chi Minh ,
Sri Thendayuthapani Temple,"66 Ton That Thiep Street, Ben Nghe Ward, District 1",4.2,Shrines/Temples,A colorful Hindu temple known for its intricate carvings and vibrant ceremonies.,Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaOjMpkgy8R9SPRAl-B0xvv_MaayCaz3LgNv8mXRwTV1cOm1oBde07lJLipnPqxILiWegc8cIM9p2r_wrjGKTzsWxYzpMZSo8Ljg5mUlrx0siBv2rKR0O_I-a8iJLa4kCj37fo=w32-h32-p-k-no
Vinh Nghiem Buddhist Temple,"339 Nam Ky Khoi Nghia Street, Ward 7, District 3",4.6,Shrines/Temples,A large modern pagoda featuring a tall seven-story tower and peaceful courtyards.,Ho Chi Minh ,
Ong Bon Temple,"Ben Nghe Ward, District 1",4.8,Shrines/Temples,"An ancient temple dedicated to Ong Bon, the guardian deity of communities and merchants.",Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqHUcGVG6GEqTPfNi40laf7FxTJs-eUZryGgQacBEbp7DR_8OhD3FQYF_7eG6Yo0bJsrGn9xfUWDuC01rfaj2vf2kIgYqAA5cP5GoLn49E23u-7LMUrNsI3QK7HkM0mjPeVVnqfw=w32-h32-p-k-no
Phung Son Buddhist Temple,"338 Nguyen Cong Tru Street, Nguyen Thai Binh Ward, District 1",4.6,Shrines/Temples,A historic pagoda known for its traditional southern Vietnamese architecture.,Ho Chi Minh ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwP2y3fhI4FMEDcvPdK6Ku3S52bwXsiFWCR9XaBbNFzq5ey-2umxcbIp6VccuBmccpLzih73J0NC7qCWC6HnGHsrIe3dS2EdAh_Xpo8gfW79H2apUEHMidZaFFZV07Uyuoo4V6E=w32-h32-p-k-no
